sequence,model_replicate,transport_replicate,condition,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,lost_packets,realized_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms,capture_packets,trace_repetitions
playground00,seed_1042,2,ideal,10.0,9.999999999999693,13263,13263,0,0.0,0.24695499999999998,0.839559,26.591881,1800,7.368333333333333
playground00,seed_2042,2,ideal,10.0,9.999999999999693,13263,13263,0,0.0,0.24695499999999998,0.839559,26.591881,1800,7.368333333333333
street00,seed_42,2,ideal,10.0,10.000000000000021,13738,13738,0,0.0,0.24695499999999998,0.840705,26.591881,1800,7.6322222222222225
street00,seed_1042,2,ideal,10.0,10.000000000000021,13738,13738,0,0.0,0.24695499999999998,0.840705,26.591881,1800,7.6322222222222225
street00,seed_2042,2,ideal,10.0,10.000000000000021,13738,13738,0,0.0,0.24695499999999998,0.840705,26.591881,1800,7.6322222222222225
street01,seed_42,2,ideal,10.0,10.000000000000023,12483,12483,0,0.0,0.24666800000000003,0.839559,26.591881,1800,6.935
street01,seed_1042,2,ideal,10.0,10.000000000000023,12483,12483,0,0.0,0.24666800000000003,0.839559,26.591881,1800,6.935
street01,seed_2042,2,ideal,10.0,10.000000000000023,12483,12483,0,0.0,0.24666800000000003,0.839559,26.591881,1800,6.935
street02,seed_42,2,ideal,10.0,10.000000000000083,13799,13799,0,0.0,0.24695499999999998,0.840705,26.591881,1800,7.666111111111111
street02,seed_1042,2,ideal,10.0,10.000000000000083,13799,13799,0,0.0,0.24695499999999998,0.840705,26.591881,1800,7.666111111111111
street02,seed_2042,2,ideal,10.0,10.000000000000083,13799,13799,0,0.0,0.24695499999999998,0.840705,26.591881,1800,7.666111111111111
building00,seed_42,3,ideal,10.0,10.000000000000005,12009,12009,0,0.0,0.273267,1.404476,30.649968,1800,6.671666666666667
building00,seed_1042,3,ideal,10.0,10.000000000000005,12009,12009,0,0.0,0.273267,1.404476,30.649968,1800,6.671666666666667
building00,seed_2042,3,ideal,10.0,10.000000000000005,12009,12009,0,0.0,0.273267,1.404476,30.649968,1800,6.671666666666667
building01,seed_42,3,ideal,10.0,10.000000000000005,13689,13689,0,0.0,0.272663,1.404476,30.649968,1800,7.605
building01,seed_1042,3,ideal,10.0,10.000000000000005,13689,13689,0,0.0,0.272663,1.404476,30.649968,1800,7.605
building01,seed_2042,3,ideal,10.0,10.000000000000005,13689,13689,0,0.0,0.272663,1.404476,30.649968,1800,7.605
building02,seed_42,3,ideal,10.0,9.999999999999906,18714,18714,0,0.0,0.272226,1.404476,30.649968,1800,10.396666666666667
building02,seed_1042,3,ideal,10.0,9.999999999999906,18714,18714,0,0.0,0.272226,1.404476,30.649968,1800,10.396666666666667
building02,seed_2042,3,ideal,10.0,9.999999999999906,18714,18714,0,0.0,0.272226,1.404476,30.649968,1800,10.396666666666667
parking00,seed_42,3,ideal,10.0,10.000000000000101,11409,11409,0,0.0,0.272138,1.402119,30.649968,1800,6.338333333333333
parking00,seed_1042,3,ideal,10.0,10.000000000000101,11409,11409,0,0.0,0.272138,1.402119,30.649968,1800,6.338333333333333
parking00,seed_2042,3,ideal,10.0,10.000000000000101,11409,11409,0,0.0,0.272138,1.402119,30.649968,1800,6.338333333333333
parking01,seed_42,3,ideal,10.0,10.00000000000011,10599,10599,0,0.0,0.274063,1.404912,30.649968,1800,5.888333333333334
parking01,seed_1042,3,ideal,10.0,10.00000000000011,10599,10599,0,0.0,0.274063,1.404912,30.649968,1800,5.888333333333334
parking01,seed_2042,3,ideal,10.0,10.00000000000011,10599,10599,0,0.0,0.274063,1.404912,30.649968,1800,5.888333333333334
parking02,seed_42,3,ideal,10.0,10.000000000000092,12569,12569,0,0.0,0.273122,1.4047375999999991,30.649968,1800,6.982777777777778
parking02,seed_1042,3,ideal,10.0,10.000000000000092,12569,12569,0,0.0,0.273122,1.4047375999999991,30.649968,1800,6.982777777777778
parking02,seed_2042,3,ideal,10.0,10.000000000000092,12569,12569,0,0.0,0.273122,1.4047375999999991,30.649968,1800,6.982777777777778
playground00,seed_42,3,ideal,10.0,9.999999999999693,13263,13263,0,0.0,0.272208,1.4042402999999992,30.649968,1800,7.368333333333333
playground00,seed_1042,3,ideal,10.0,9.999999999999693,13263,13263,0,0.0,0.272208,1.4042402999999992,30.649968,1800,7.368333333333333
